fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2025-09-01,Medellín,1,Equipo de Transporte,historico,9977896.07,33.0,15.0
2025-10-01,Medellín,1,Equipo de Transporte,historico,22921146.0,25.0,18.0
2025-11-01,Medellín,1,Equipo de Transporte,historico,18532618.0,59.0,26.0
2025-12-01,Medellín,1,Equipo de Transporte,historico,15034766.0,43.0,19.0
2026-01-01,Medellín,1,Equipo de Transporte,historico,9110610.0,23.0,13.0
2026-02-01,Medellín,1,Equipo de Transporte,historico,7893456.0,24.0,12.0
2026-03-01,Medellín,1,Equipo de Transporte,historico,21755745.0,45.0,27.0
2026-04-01,Medellín,1,Equipo de Transporte,historico,14616907.0,40.0,22.0
2024-01-01,Medellín,1,Food,historico,581760859.42,851.0,387.0
2024-02-01,Medellín,1,Food,historico,772430185.42,941.0,543.0
2024-03-01,Medellín,1,Food,historico,662786429.58,1067.0,559.0
2024-04-01,Medellín,1,Food,historico,728103739.82,1072.0,573.0
2024-05-01,Medellín,1,Food,historico,751564050.58,1148.0,609.0
2024-06-01,Medellín,1,Food,historico,728803990.85,1107.0,557.0
2024-07-01,Medellín,1,Food,historico,882022505.5,1171.0,621.0
2024-08-01,Medellín,1,Food,historico,765921080.98,1174.0,563.0
2024-09-01,Medellín,1,Food,historico,951541848.96,1233.0,635.0
2024-10-01,Medellín,1,Food,historico,768246917.82,1237.0,654.0
2024-11-01,Medellín,1,Food,historico,731861841.64,1122.0,545.0
2024-12-01,Medellín,1,Food,historico,956871287.6,1268.0,533.0
2025-01-01,Medellín,1,Food,historico,582944409.48,1091.0,482.0
2025-02-01,Medellín,1,Food,historico,754422312.92,1081.0,532.0
2025-03-01,Medellín,1,Food,historico,721548677.67,1220.0,549.0
2025-04-01,Medellín,1,Food,historico,707091121.8,1202.0,532.0
2025-05-01,Medellín,1,Food,historico,881384907.77,1320.0,584.0
2025-06-01,Medellín,1,Food,historico,881014902.55,1059.0,597.0
2025-07-01,Medellín,1,Food,historico,1091870472.67,1314.0,662.0
2025-08-01,Medellín,1,Food,historico,951603520.28,1276.0,613.0
2025-09-01,Medellín,1,Food,historico,829804285.42,1600.0,660.0
2025-10-01,Medellín,1,Food,historico,980506465.02,1738.0,725.0
2025-11-01,Medellín,1,Food,historico,880112397.87,1498.0,589.0
2025-12-01,Medellín,1,Food,historico,1368662103.78,1534.0,604.0
2026-01-01,Medellín,1,Food,historico,768148964.83,1309.0,538.0
2026-02-01,Medellín,1,Food,historico,885459615.83,1475.0,640.0
2026-03-01,Medellín,1,Food,historico,1014607033.35,1361.0,625.0
2026-04-01,Medellín,1,Food,historico,977774748.5,1622.0,675.0
2024-01-01,Medellín,1,Health/Social,historico,12269173.0,23.0,17.0
2024-02-01,Medellín,1,Health/Social,historico,25625449.0,59.0,29.0
2024-03-01,Medellín,1,Health/Social,historico,16436161.0,39.0,25.0
2024-04-01,Medellín,1,Health/Social,historico,15773595.0,95.0,51.0
