fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-09-01,Barranquilla,4,15,historico,250039727.12
2024-09-01,Barranquilla,4,1725,historico,114469852.0
2024-09-01,Barranquilla,4,25,historico,376482640.0
2024-09-01,Barranquilla,4,76,historico,64325227.0
2024-09-01,Barranquilla,4,80,historico,88219217.0
2024-09-01,Barranquilla,4,E,historico,724808022.5
2024-09-01,Cartagena,5,0605,historico,47436662.0
2024-09-01,Cartagena,5,07,historico,520167097.24
2024-09-01,Cartagena,5,1301,historico,59101499.0
2024-09-01,Cartagena,5,14,historico,41995384.0
2024-09-01,Cartagena,5,15,historico,119155848.8
2024-09-01,Cartagena,5,1725,historico,110294675.6
2024-09-01,Cartagena,5,25,historico,226675343.0
2024-09-01,Cartagena,5,76,historico,68817868.0
2024-09-01,Cartagena,5,80,historico,85136190.0
2024-09-01,Cartagena,5,E,historico,207804390.54
2024-10-01,Medellín,1,0605,historico,150955824.94
2024-10-01,Medellín,1,07,historico,1082069082.9
2024-10-01,Medellín,1,1301,historico,156504513.36
2024-10-01,Medellín,1,14,historico,49256566.89
2024-10-01,Medellín,1,15,historico,317933826.0
2024-10-01,Medellín,1,1725,historico,296010253.67
2024-10-01,Medellín,1,25,historico,626702913.23
2024-10-01,Medellín,1,76,historico,135212135.0
2024-10-01,Medellín,1,80,historico,270852822.34
2024-10-01,Medellín,1,E,historico,725677155.1
2024-10-01,Bogotá,2,0605,historico,312708136.33
2024-10-01,Bogotá,2,07,historico,2243892010.59
2024-10-01,Bogotá,2,1301,historico,235393830.0
2024-10-01,Bogotá,2,14,historico,262106645.0
2024-10-01,Bogotá,2,15,historico,381235089.0
2024-10-01,Bogotá,2,1725,historico,212263585.0
2024-10-01,Bogotá,2,25,historico,1164304654.78
2024-10-01,Bogotá,2,76,historico,146197190.0
2024-10-01,Bogotá,2,80,historico,288400224.0
2024-10-01,Bogotá,2,E,historico,690173218.2
2024-10-01,Cali,3,0605,historico,115450955.0
2024-10-01,Cali,3,07,historico,398933378.7
2024-10-01,Cali,3,1301,historico,59534635.48
2024-10-01,Cali,3,14,historico,50316545.8
2024-10-01,Cali,3,15,historico,163947642.2
2024-10-01,Cali,3,1725,historico,73264406.0
2024-10-01,Cali,3,25,historico,224033880.48
2024-10-01,Cali,3,76,historico,118539776.0
2024-10-01,Cali,3,80,historico,263772929.56
2024-10-01,Cali,3,E,historico,363223189.43
2024-10-01,Barranquilla,4,0605,historico,45103370.0
2024-10-01,Barranquilla,4,07,historico,474886685.0
2024-10-01,Barranquilla,4,1301,historico,107288944.0
2024-10-01,Barranquilla,4,14,historico,106077609.0
2024-10-01,Barranquilla,4,15,historico,296417738.64
2024-10-01,Barranquilla,4,1725,historico,60989824.0
2024-10-01,Barranquilla,4,25,historico,598732344.0
2024-10-01,Barranquilla,4,76,historico,53774209.0
2024-10-01,Barranquilla,4,80,historico,85303896.0
2024-10-01,Barranquilla,4,E,historico,670498467.27
2024-10-01,Cartagena,5,0605,historico,57656629.0
2024-10-01,Cartagena,5,07,historico,407392384.8
2024-10-01,Cartagena,5,1301,historico,137496121.0
2024-10-01,Cartagena,5,14,historico,39788203.0
2024-10-01,Cartagena,5,15,historico,113408561.6
2024-10-01,Cartagena,5,1725,historico,109624848.6
2024-10-01,Cartagena,5,25,historico,215936272.0
2024-10-01,Cartagena,5,76,historico,49722136.0
2024-10-01,Cartagena,5,80,historico,154622339.0
2024-10-01,Cartagena,5,E,historico,169796365.0
2024-11-01,Medellín,1,0605,historico,173960089.06
2024-11-01,Medellín,1,07,historico,969974419.11
2024-11-01,Medellín,1,1301,historico,166311638.64
2024-11-01,Medellín,1,14,historico,73835570.82
2024-11-01,Medellín,1,15,historico,341173336.0
2024-11-01,Medellín,1,1725,historico,209693942.4
2024-11-01,Medellín,1,25,historico,528455197.74
2024-11-01,Medellín,1,76,historico,110069230.0
2024-11-01,Medellín,1,80,historico,274893739.82
2024-11-01,Medellín,1,E,historico,671283254.59
2024-11-01,Bogotá,2,0605,historico,255753143.78
2024-11-01,Bogotá,2,07,historico,1935226466.38
2024-11-01,Bogotá,2,1301,historico,126619019.0
2024-11-01,Bogotá,2,14,historico,138925999.0
2024-11-01,Bogotá,2,15,historico,436149288.18
2024-11-01,Bogotá,2,1725,historico,244066833.0
2024-11-01,Bogotá,2,25,historico,909109746.82
2024-11-01,Bogotá,2,76,historico,180761314.52
2024-11-01,Bogotá,2,80,historico,317363474.0
2024-11-01,Bogotá,2,E,historico,439438516.28
2024-11-01,Cali,3,0605,historico,81728248.04
2024-11-01,Cali,3,07,historico,612287743.62
2024-11-01,Cali,3,1301,historico,148680637.34
2024-11-01,Cali,3,14,historico,89735988.5
2024-11-01,Cali,3,15,historico,157286042.0
2024-11-01,Cali,3,1725,historico,406038869.0
2024-11-01,Cali,3,25,historico,189188808.5
2024-11-01,Cali,3,76,historico,131961600.0
2024-11-01,Cali,3,80,historico,195678433.0
2024-11-01,Cali,3,E,historico,382471051.90999997
2024-11-01,Barranquilla,4,0605,historico,39473223.0
2024-11-01,Barranquilla,4,07,historico,338136849.25
2024-11-01,Barranquilla,4,1301,historico,116555449.0
